epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,2302.42,1.28822,3.39852,1.67056,0.61076,0.38151,0.44623,0.29153,1.69742,4.31961,1.64018,0.000445625,0.000445625,0.000445625
80,2332.13,1.29238,3.38218,1.67546,0.56584,0.44601,0.46136,0.3021,1.63953,4.07067,1.59156,0.000435312,0.000435312,0.000435312
81,2361.56,1.28355,3.39872,1.67002,0.58787,0.40282,0.45269,0.29791,1.6307,4.06875,1.59229,0.000425,0.000425,0.000425
82,2390.92,1.27513,3.3137,1.66575,0.53918,0.42835,0.44653,0.29065,1.66626,4.28524,1.60919,0.000414688,0.000414688,0.000414688
83,2420.25,1.2868,3.41573,1.67045,0.53053,0.44831,0.45781,0.30051,1.64427,4.13269,1.6108,0.000404375,0.000404375,0.000404375
84,2449.48,1.27269,3.34908,1.65841,0.53863,0.45496,0.46203,0.2955,1.68713,4.05442,1.63576,0.000394063,0.000394063,0.000394063
85,2478.7,1.27361,3.31715,1.65651,0.50305,0.4076,0.42965,0.27814,1.68088,4.31102,1.63705,0.00038375,0.00038375,0.00038375
86,2507.9,1.25594,3.25104,1.6502,0.48111,0.44841,0.45437,0.30142,1.63669,4.09835,1.58714,0.000373437,0.000373437,0.000373437
87,2537.15,1.26524,3.27287,1.6613,0.54309,0.44064,0.4608,0.30178,1.63673,4.09127,1.60463,0.000363125,0.000363125,0.000363125
88,2566.49,1.27232,3.30378,1.65038,0.5667,0.4268,0.45601,0.29291,1.63251,4.04827,1.60067,0.000352812,0.000352812,0.000352812
89,2595.69,1.26926,3.2636,1.65309,0.5716,0.47169,0.4803,0.31443,1.57391,3.88351,1.56112,0.0003425,0.0003425,0.0003425
90,2625.66,1.26587,3.29103,1.65731,0.56952,0.41544,0.45788,0.30234,1.62701,4.05444,1.59581,0.000332187,0.000332187,0.000332187
91,2655.01,1.28638,3.34959,1.66494,0.52322,0.43182,0.44023,0.29185,1.64705,4.42411,1.60395,0.000321875,0.000321875,0.000321875
92,2684.66,1.27107,3.32911,1.66457,0.5201,0.42532,0.4541,0.30005,1.63054,4.08945,1.60025,0.000311563,0.000311563,0.000311563
93,2714.07,1.23787,3.18282,1.6364,0.56377,0.43058,0.45589,0.29564,1.6511,4.08092,1.61228,0.00030125,0.00030125,0.00030125
94,2743.42,1.2445,3.23487,1.6535,0.55912,0.43138,0.45783,0.29784,1.63154,4.13983,1.58771,0.000290937,0.000290937,0.000290937
95,2772.64,1.23048,3.19898,1.64016,0.54577,0.45548,0.45935,0.29876,1.62919,4.09112,1.59784,0.000280625,0.000280625,0.000280625
96,2802.11,1.23737,3.23353,1.64784,0.59864,0.44179,0.4734,0.30734,1.6553,4.16858,1.62324,0.000270313,0.000270313,0.000270313
97,2831.63,1.25184,3.24893,1.65682,0.56866,0.47284,0.47891,0.30734,1.63015,4.03957,1.6031,0.00026,0.00026,0.00026
98,2861.01,1.22586,3.19857,1.63927,0.53686,0.44612,0.4689,0.30554,1.65057,4.12548,1.60693,0.000249687,0.000249687,0.000249687
99,2890.2,1.24077,3.19587,1.64727,0.5616,0.43241,0.45884,0.30141,1.68596,4.20153,1.62323,0.000239375,0.000239375,0.000239375
100,2919.8,1.2434,3.20922,1.64806,0.58252,0.42241,0.46575,0.30463,1.64328,4.1469,1.59803,0.000229063,0.000229063,0.000229063
101,2949.45,1.24202,3.21618,1.64552,0.54961,0.42432,0.45916,0.30227,1.64927,4.10173,1.60225,0.00021875,0.00021875,0.00021875
102,2978.76,1.24737,3.22769,1.64804,0.54549,0.46089,0.4676,0.30539,1.66938,4.14862,1.62299,0.000208438,0.000208438,0.000208438
103,3008.21,1.25386,3.202,1.65673,0.61408,0.41709,0.46839,0.30518,1.6806,4.20146,1.63296,0.000198125,0.000198125,0.000198125
104,3037.45,1.21948,3.12995,1.62816,0.57005,0.4344,0.45702,0.30252,1.64024,4.15712,1.60249,0.000187813,0.000187813,0.000187813
105,3066.7,1.23235,3.13205,1.63695,0.59709,0.41744,0.467,0.30605,1.6402,4.07834,1.61163,0.0001775,0.0001775,0.0001775
106,3095.94,1.22427,3.16278,1.63259,0.56246,0.4592,0.47528,0.31267,1.60658,3.95403,1.58456,0.000167188,0.000167188,0.000167188
107,3125.19,1.22739,3.09392,1.63195,0.56397,0.47518,0.47986,0.31352,1.61204,3.96971,1.58812,0.000156875,0.000156875,0.000156875
108,3154.62,1.21444,3.10941,1.62981,0.54987,0.44497,0.46994,0.30681,1.62531,4.06193,1.58716,0.000146562,0.000146562,0.000146562
109,3184.02,1.22133,3.14233,1.63754,0.56375,0.43242,0.46676,0.30946,1.621,4.06461,1.60323,0.00013625,0.00013625,0.00013625
110,3213.35,1.20433,3.10713,1.62896,0.56578,0.4275,0.46808,0.30706,1.62086,4.1618,1.584,0.000125938,0.000125938,0.000125938
111,3239.39,1.26164,3.6025,1.71211,0.58678,0.42892,0.47349,0.31287,1.59878,4.07926,1.59649,0.000115625,0.000115625,0.000115625
112,3265.37,1.16006,2.91749,1.66099,0.61133,0.4075,0.47143,0.31704,1.58133,3.97062,1.57295,0.000105312,0.000105312,0.000105312
113,3291.31,1.16716,2.87002,1.65707,0.58924,0.41836,0.47451,0.31369,1.5894,4.00526,1.58124,9.5e-05,9.5e-05,9.5e-05
114,3317.5,1.14087,2.80084,1.65018,0.6097,0.42247,0.47886,0.31707,1.56257,3.90242,1.56243,8.46875e-05,8.46875e-05,8.46875e-05
115,3343.55,1.14068,2.80749,1.64721,0.62769,0.43336,0.48657,0.31967,1.56467,3.87603,1.56908,7.4375e-05,7.4375e-05,7.4375e-05
116,3369.78,1.14726,2.78263,1.65563,0.5899,0.45072,0.48618,0.32162,1.56176,3.87263,1.56767,6.40625e-05,6.40625e-05,6.40625e-05
117,3395.82,1.13414,2.74483,1.65151,0.567,0.46167,0.48445,0.31944,1.55406,3.87207,1.56361,5.375e-05,5.375e-05,5.375e-05
118,3421.8,1.14084,2.75007,1.64856,0.56534,0.45231,0.48293,0.31812,1.56074,3.87321,1.57078,4.34375e-05,4.34375e-05,4.34375e-05
119,3447.79,1.13381,2.68351,1.63587,0.60085,0.43894,0.48219,0.31896,1.55926,3.87336,1.57179,3.3125e-05,3.3125e-05,3.3125e-05
120,3473.8,1.12489,2.7166,1.6413,0.62609,0.41495,0.4824,0.32021,1.56386,3.86351,1.57394,2.28125e-05,2.28125e-05,2.28125e-05
