epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,2215.64,1.05616,2.85006,1.15601,0.5601,0.42488,0.45245,0.29576,1.6104,4.05157,1.17758,0.00046625,0.00046625,0.00046625
78,2244.51,1.04583,2.85615,1.15499,0.49546,0.46165,0.454,0.30184,1.53528,4.00358,1.14631,0.000455937,0.000455937,0.000455937
79,2273.37,1.04394,2.8184,1.15278,0.5414,0.47501,0.46789,0.31074,1.56206,3.93473,1.15714,0.000445625,0.000445625,0.000445625
80,2302.26,1.0544,2.84048,1.14848,0.52667,0.44919,0.45103,0.29796,1.57627,4.19704,1.15672,0.000435312,0.000435312,0.000435312
81,2331.26,1.01933,2.81451,1.14518,0.54717,0.43416,0.45665,0.30416,1.53786,4.04705,1.13162,0.000425,0.000425,0.000425
82,2360.11,1.04322,2.83865,1.14799,0.57118,0.43631,0.47987,0.31907,1.50049,3.86736,1.13825,0.000414688,0.000414688,0.000414688
83,2390.03,1.03044,2.79211,1.14957,0.55199,0.45545,0.47525,0.31874,1.53625,3.92246,1.14328,0.000404375,0.000404375,0.000404375
84,2419.42,1.04747,2.82469,1.15574,0.50266,0.47461,0.47316,0.31328,1.55169,3.92609,1.14255,0.000394063,0.000394063,0.000394063
85,2448.39,1.05023,2.8447,1.15088,0.63826,0.39977,0.46634,0.31063,1.59216,4.07212,1.16836,0.00038375,0.00038375,0.00038375
86,2477.46,1.01548,2.72554,1.13913,0.51528,0.46149,0.46256,0.31065,1.52713,3.96461,1.13351,0.000373437,0.000373437,0.000373437
87,2506.41,1.04161,2.81508,1.1528,0.5902,0.43381,0.48353,0.3175,1.52739,3.8727,1.14542,0.000363125,0.000363125,0.000363125
88,2535.49,1.05736,2.84504,1.15363,0.62369,0.43016,0.47693,0.31454,1.52608,3.88147,1.14422,0.000352812,0.000352812,0.000352812
89,2564.27,1.01732,2.78342,1.13781,0.49962,0.4746,0.47748,0.31937,1.51162,3.81492,1.12889,0.0003425,0.0003425,0.0003425
90,2593.37,1.03961,2.76262,1.14811,0.57847,0.44668,0.47146,0.31837,1.5032,3.72235,1.11908,0.000332187,0.000332187,0.000332187
91,2622.25,0.99895,2.71054,1.13312,0.57948,0.44088,0.47985,0.32008,1.48683,3.69301,1.11384,0.000321875,0.000321875,0.000321875
92,2651.31,1.02674,2.736,1.14666,0.60687,0.45518,0.4887,0.32293,1.50535,3.80744,1.14052,0.000311563,0.000311563,0.000311563
93,2680.4,1.01805,2.67888,1.13784,0.55056,0.45856,0.47151,0.31619,1.49436,3.79634,1.12155,0.00030125,0.00030125,0.00030125
94,2716.33,1.02075,2.72155,1.14004,0.59383,0.43521,0.47711,0.32363,1.48163,3.71825,1.12778,0.000290937,0.000290937,0.000290937
95,2750.89,1.02558,2.72938,1.13986,0.58325,0.41831,0.47257,0.31605,1.47816,3.74729,1.12735,0.000280625,0.000280625,0.000280625
96,2785.55,0.99898,2.66034,1.13378,0.5875,0.44714,0.48603,0.32262,1.45559,3.70532,1.11782,0.000270313,0.000270313,0.000270313
97,2820.67,1.01078,2.67263,1.1376,0.58687,0.45455,0.48256,0.31794,1.5273,3.97154,1.14909,0.00026,0.00026,0.00026
98,2855.28,1.01959,2.70837,1.14144,0.5587,0.48117,0.48795,0.32227,1.50507,3.8244,1.14346,0.000249687,0.000249687,0.000249687
99,2888.85,1.02034,2.68464,1.14285,0.59008,0.44799,0.49295,0.32626,1.4873,3.64619,1.13318,0.000239375,0.000239375,0.000239375
100,2923.97,0.96781,2.59026,1.12265,0.59174,0.45939,0.49255,0.3223,1.49135,3.83674,1.12859,0.000229063,0.000229063,0.000229063
101,2958.86,0.99525,2.62827,1.12946,0.68035,0.41755,0.49863,0.33166,1.49012,3.69671,1.13721,0.00021875,0.00021875,0.00021875
102,2992.67,0.98488,2.60487,1.12437,0.59462,0.45095,0.49428,0.32986,1.48265,3.67087,1.12954,0.000208438,0.000208438,0.000208438
103,3029.27,1.00633,2.61938,1.13368,0.59227,0.44488,0.49656,0.33417,1.46779,3.69593,1.11781,0.000198125,0.000198125,0.000198125
104,3063.85,0.99134,2.58299,1.12925,0.63641,0.42874,0.4922,0.32749,1.49809,3.81166,1.13281,0.000187813,0.000187813,0.000187813
105,3097.59,0.9986,2.64276,1.1234,0.54085,0.47076,0.49699,0.33198,1.46149,3.6225,1.11911,0.0001775,0.0001775,0.0001775
106,3132.51,0.986,2.57786,1.1287,0.57842,0.47908,0.50609,0.33495,1.47083,3.646,1.12315,0.000167188,0.000167188,0.000167188
107,3166.93,0.97979,2.59411,1.12743,0.56907,0.47263,0.49156,0.33146,1.45536,3.64472,1.1136,0.000156875,0.000156875,0.000156875
108,3200.72,0.9775,2.57397,1.12787,0.59557,0.45198,0.48789,0.327,1.48917,3.75703,1.12271,0.000146562,0.000146562,0.000146562
109,3235.31,0.97945,2.57298,1.1253,0.62416,0.45687,0.50943,0.33846,1.4885,3.71636,1.12483,0.00013625,0.00013625,0.00013625
110,3270.91,0.97591,2.57812,1.12314,0.6235,0.47062,0.50149,0.33464,1.47848,3.66458,1.11685,0.000125938,0.000125938,0.000125938
111,4159.81,1.17053,3.19784,1.21171,0.58665,0.47612,0.49053,0.32467,1.49174,3.69679,1.12997,0.000115625,0.000115625,0.000115625
112,4197.06,1.12635,2.73023,1.19489,0.6361,0.45966,0.49717,0.3295,1.47383,3.68267,1.12245,0.000105312,0.000105312,0.000105312
113,4230.45,1.14185,2.71109,1.20579,0.61326,0.45417,0.49363,0.33171,1.45527,3.60349,1.11851,9.5e-05,9.5e-05,9.5e-05
114,4264.52,1.10637,2.65573,1.1903,0.64332,0.46321,0.49692,0.33283,1.44763,3.61144,1.1178,8.46875e-05,8.46875e-05,8.46875e-05
115,4299.03,1.09894,2.60245,1.18819,0.63094,0.45983,0.50226,0.33395,1.44591,3.59046,1.11527,7.4375e-05,7.4375e-05,7.4375e-05
116,4332.58,1.11215,2.61298,1.19278,0.60964,0.46208,0.49803,0.33269,1.45323,3.62455,1.11553,6.40625e-05,6.40625e-05,6.40625e-05
117,4368.67,1.08784,2.54963,1.18242,0.62935,0.45277,0.49432,0.33031,1.44367,3.61265,1.10944,5.375e-05,5.375e-05,5.375e-05
118,4396.37,1.10054,2.56658,1.18533,0.62752,0.44449,0.49806,0.33254,1.44917,3.61521,1.11259,4.34375e-05,4.34375e-05,4.34375e-05
119,4424.07,1.1041,2.5544,1.18829,0.63907,0.44445,0.49299,0.32974,1.45286,3.61565,1.11304,3.3125e-05,3.3125e-05,3.3125e-05
120,4451.78,1.10618,2.53977,1.18627,0.62184,0.45362,0.49167,0.32894,1.4524,3.61607,1.11372,2.28125e-05,2.28125e-05,2.28125e-05
